Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:20105500010030000,104 CAMPBELL ST,,,,1963,1963,,ONE STORY,1799,$62.01 ,1799,$62.01 ,14,GOOD,0.45,"$111,560 ","$87,740 ",27.1484,,,
Acct:20105500010040000,110 CAMPBELL ST,,,,1963,1963,,ONE STORY,1800,$60.34 ,1800,$60.34 ,14,GOOD,0.45,"$108,620 ","$85,570 ",26.937,,,
Acct:65056266510370000,115 CAMPBELL ST,,,,1966,1966,,ONE STORY,2088,$51.70 ,2088,$51.70 ,14,AVERAGE,0.5,"$107,940 ","$91,570 ",17.877,,,
Acct:20105500010050000,116 CAMPBELL ST,,,,1963,1963,,ONE STORY,1800,$60.34 ,1800,$60.34 ,14,GOOD,0.45,"$108,620 ","$85,570 ",26.937,,,
Acct:20105500010060100,122 CAMPBELL ST,,,,1963,1963,,ONE STORY,888,$60.83 ,888,$60.83 ,14,AVERAGE,0.5,"$54,020 ","$48,090 ",12.331,,,
Acct:20105500010060000,124 CAMPBELL ST,,,,1963,1963,$864 ,ONE STORY,888,$57.30 ,888,$57.30 ,14,AVERAGE,0.5,"$50,880 ","$38,730 ",31.371,,,
Acct:20105500010070000,128 CAMPBELL ST,,,,1963,1963,,ONE STORY,1800,$62.01 ,1800,$62.01 ,14,GOOD,0.45,"$111,610 ","$87,770 ",27.1619,,,
Acct:20105500010080000,134 CAMPBELL ST,,,,1963,1963,,ONE STORY,1800,$60.34 ,1800,$60.34 ,14,GOOD,0.45,"$108,620 ","$85,570 ",26.937,,,
Acct:20105500020160000,135 CAMPBELL ST,,,,1966,1966,,ONE STORY,2200,$50.99 ,2200,$50.99 ,14,AVERAGE,0.5,"$112,170 ","$95,010 ",18.0613,12/19/14,MARKET SALE,"$98,000 "
Acct:20105500010090000,140 CAMPBELL ST,,,,1963,1963,,ONE STORY,1800,$64.82 ,1800,$64.82 ,14,VERY GOOD,0.4,"$116,680 ","$91,530 ",27.4773,,,
Acct:20049800020010000,211 DAVIS DR,,,,1983,1983,,ONE STORY,2010,$67.55 ,2010,$67.55 ,14,AVERAGE,0.4,"$135,770 ","$105,650 ",28.5092,,,
Acct:20049800010010000,214 DAVIS DR,,,,1983,1983,,TWO STORIES,2122,$56.67 ,2122,$56.67 ,14,AVERAGE,0.4,"$120,260 ","$94,180 ",27.6917,,,
Acct:20049800020020000,215 DAVIS DR,,,,2001,2001,,ONE STORY,2660,$51.38 ,2660,$51.38 ,14,FAIR,0.3,"$136,670 ","$148,880 ",-8.2012,,,
Acct:20049800010020000,216 DAVIS DR,,,,1983,1983,,TWO STORIES,2122,$56.67 ,2122,$56.67 ,14,AVERAGE,0.4,"$120,260 ","$94,180 ",27.6917,,,
Acct:20049800010030000,220 DAVIS DR,,,,1983,1983,,TWO STORIES,2122,$56.67 ,2122,$56.67 ,14,AVERAGE,0.4,"$120,260 ","$94,180 ",27.6917,,,
Acct:20049800020030000,221 DAVIS DR,,,,1989,1989,"$20,000 ",ONE STORY,3456,$73.07 ,3456,$73.07 ,14,GOOD,0.3,"$252,540 ","$208,480 ",21.1339,,,
Acct:20000500000560500,214 LYNDALYN ST,,,,1970,1970,"$7,887 ",ONE STORY,1658,$54.93 ,1658,$54.93 ,14,FAIR,0.55,"$91,070 ","$74,630 ",22.0287,,,
Acct:20049800030020000,708 RED BUD DR,,,,1983,1983,,TWO STORIES,2158,$56.42 ,2158,$56.42 ,14,AVERAGE,0.4,"$121,760 ","$95,290 ",27.7784,,,
Acct:20049800030030100,712 RED BUD DR,,,,1980,1980,,ONE STORY,1260,$54.81 ,1260,$54.81 ,14,FAIR,0.5,"$69,060 ","$53,430 ",29.2532,,,
Acct:20049800030030000,714 RED BUD DR,,,,1980,1980,,ONE STORY,1260,$64.34 ,1260,$64.34 ,14,AVERAGE,0.4,"$81,070 ","$62,320 ",30.0866,,,
