Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:360920100C0380000,120 ANNETTE ST,,,,2001,2001,,ONE STORY,2228,$72.82 ,2228,$72.82 ,16,VERY GOOD,0.15,"$162,240 ","$127,050 ",27.6978,,,
Acct:360920100A0080000,123 ANNETTE ST,,,,2001,2001,,ONE STORY,3109,$62.96 ,3109,$62.96 ,16,VERY GOOD,0.15,"$195,740 ","$165,140 ",18.5297,,,
Acct:360920100C0390000,124 ANNETTE ST,,,,2001,2001,,ONE STORY,2464,$70.33 ,2464,$70.33 ,16,VERY GOOD,0.15,"$173,290 ","$135,360 ",28.0216,,,
Acct:360920100A0070000,127 ANNETTE ST,,,,2002,2002,,ONE STORY,1862,$67.04 ,1862,$67.04 ,16,AVERAGE,0.25,"$124,830 ","$116,970 ",6.7197,8/5/14,FORECLOSURE,"$103,000 "
Acct:360920100C0400000,128 ANNETTE ST,,,,2001,2001,,ONE STORY,2330,$67.55 ,2330,$67.55 ,16,GOOD,0.2,"$157,400 ","$123,400 ",27.5527,,,
Acct:360920100A0060000,131 ANNETTE ST,,,,2002,2002,$600 ,ONE STORY,2408,$70.71 ,2408,$70.71 ,16,GOOD,0.2,"$170,270 ","$141,880 ",20.0099,7/18/14,MARKET SALE,"$142,000 "
Acct:360920100C0410000,132 ANNETTE ST,,,,2001,2001,,ONE STORY,2618,$58.66 ,2618,$58.66 ,16,FAIR,0.3,"$153,580 ","$120,530 ",27.4206,,,
Acct:360920100A0050000,135 ANNETTE ST,,,,2002,2002,,ONE STORY,3032,$61.43 ,3032,$61.43 ,16,AVERAGE,0.25,"$186,270 ","$155,050 ",20.1354,6/3/14,MARKET SALE,"$145,000 "
Acct:360920100C0420000,136 ANNETTE ST,,,,2001,2001,"$3,564 ",ONE STORY,2408,$56.88 ,2408,$56.88 ,16,FAIR,0.3,"$136,970 ","$116,860 ",17.2086,10/19/12,FORECLOSURE,"$58,000 "
Acct:360920100C0430000,140 ANNETTE ST,,,,2001,2001,$672 ,ONE AND ONE HALF STORIES,2932,$50.56 ,2932,$50.56 ,16,FAIR,0.3,"$148,240 ","$121,100 ",22.4112,1/28/14,FORECLOSURE,"$93,000 "
Acct:360920100A0040000,205 ANNETTE ST,,,,1988,1988,,ONE AND ONE HALF STORIES,2135,$67.52 ,2135,$67.52 ,16,VERY GOOD,0.25,"$144,150 ","$115,410 ",24.9025,,,
Acct:360920100C0440000,206 ANNETTE ST,,,,2001,2001,,ONE STORY,2356,$74.34 ,2356,$74.34 ,16,EXCELLENT,0.1,"$175,150 ","$136,770 ",28.0617,,,
Acct:360920100A0030000,209 ANNETTE ST,,,,2001,2001,,ONE STORY,1498,$83.50 ,1498,$83.50 ,16,AVERAGE,0.25,"$125,080 ","$101,060 ",23.7681,,,
Acct:360920100C0450000,210 ANNETTE ST,,,,2001,2001,,ONE STORY,2222,$62.80 ,2222,$62.80 ,16,VERY GOOD,0.15,"$139,540 ","$126,420 ",10.3781,,,
Acct:360920100A0020000,213 ANNETTE ST,,,,1987,1997,$840 ,ONE STORY,2701,$64.50 ,2701,$64.50 ,16,VERY GOOD,0.2,"$174,210 ","$145,080 ",20.0786,8/29/14,MARKET SALE,"$154,500 "
Acct:360920100C0460000,214 ANNETTE ST,,,,2001,2001,,ONE STORY,2289,$72.68 ,2289,$72.68 ,16,VERY GOOD,0.15,"$166,360 ","$130,140 ",27.8316,,,
Acct:360920100A0010000,215 ANNETTE ST,,,,2001,2001,$672 ,ONE STORY,2796,$57.52 ,2796,$57.52 ,16,AVERAGE,0.25,"$160,830 ","$131,710 ",22.1092,,,
Acct:360920100C0470000,218 ANNETTE ST,,,,2001,2001,,ONE STORY,2330,$71.24 ,2330,$71.24 ,16,VERY GOOD,0.15,"$165,990 ","$129,870 ",27.8124,,,
Acct:360920000A01A0000,219 ANNETTE ST,,,,1984,1984,"$2,240 ",ONE STORY,2002,$65.39 ,2002,$65.39 ,16,VERY GOOD,0.3,"$130,910 ","$109,860 ",19.1608,,,
Acct:360920100C0480000,222 ANNETTE ST,,,,2001,2001,,ONE STORY,1768,$80.88 ,1768,$80.88 ,16,VERY GOOD,0.15,"$142,990 ","$112,560 ",27.0345,,,
